,Disease,Keyword,Website,Symptoms,,
0,Eczema,Prurigo Nodularis,https://www.aad.org/public/diseases/a-z/prurigo-nodularis-symptoms,"Itchy bumps on the skin, which appear when someone repeatedly scratches, picks at, or rubs their skin. These itchy bumps, which dermatologists call ""nodules,"" can develop anywhere on skin that you can scratch, pick, or rub. While the itchy bumps can develop anywhere, most appear on one or more of these areas:Arms, Legs, Upper back, Lower back, Buttocks, Abdomen. The following describes what you may experience if you have prurigo nodularis. Before the itchy bumps of prurigo nodularis appear, the skin often itches. This itch can be long-lasting or come in short bursts. Either way, it's often intense. Some people have a few itchy areas. For others, the itch covers much of their skin.Instead of feeling itchy, some people say that their skin burns or stings. While rare, patients have said they experience other sensations, like the feeling that bugs are crawling on their skin.The repeated scratching, picking, or rubbing leads to itchy bumps. The itchy bumps usually appear about six weeks after your skin starts to itch, burn, or sting. Often, the bumps develop evenly on both sides of the body.The bumps can be the color of your skin, pink, red, or brownish black. The size may vary from that of a pinhead to larger than a U.S. quarter. It’s possible to have a few bumps or more than 100 on your skin. For most people, this number falls somewhere in between.Raised, itchy patches can also develop on the skin. Frequently scratching can cause more bumps and raised patches of itchy skin. The more you scratch, the itchier your skin may feel. Some people scratch until the itchy bumps or patches break open and bleed or the skin feels too painful to touch. All this scratching can cause changes. Dark spots may appear. The skin can feel pebbly or hard and thick.Without treatment, the itch and bumps can last for months or years (A). As the bumps clear, you may see flat dark spots (B), spots that are lighter than your natural skin color, or scars where the bumps once were.Living with severe and frequent itch can affect your quality of life. ",,
0,Psoriasis or Lichen Planus,Pinking,https://www.mayoclinic.org/diseases-conditions/parkinsons-disease/symptoms-causes/syc-20376055,"Tremor. Rhythmic shaking, called tremor, usually begins in a limb, often your hand or fingers. You may rub your thumb and forefinger back and forth. This is known as a pill-rolling tremor. Your hand may tremble when it's at rest. The shaking may decrease when you are performing tasks.
Slowed movement, known as bradykinesia. Over time, Parkinson's disease may slow your movement, making simple tasks difficult and time-consuming. Your steps may become shorter when you walk. It may be difficult to get out of a chair. You may drag or shuffle your feet as you try to walk.
Rigid muscles. Muscle stiffness may occur in any part of your body. The stiff muscles can be painful and limit your range of motion.
Impaired posture and balance. Your posture may become stooped. Or you may fall or have balance problems as a result of Parkinson's disease.
Loss of automatic movements. You may have a decreased ability to perform unconscious movements, including blinking, smiling or swinging your arms when you walk.
Speech changes. You may speak softly or quickly, slur, or hesitate before talking. Your speech may be more of a monotone rather than have the usual speech patterns.
Writing changes. It may become hard to write, and your writing may appear small.",,
0,Psoriasis or Lichen Planus,Lichen Nitidus,https://www.healthline.com/health/lichen-nitidus,"Lichen nitidus causes very small bumps (papules) on your skin. The papules are usually the same color as your skin. If you have lighter skin, they may look slightly pink. If you have darker skin, they may look slightly lighter or darker than the surrounding skin.",,
0,Psoriasis or Lichen Planus,Lichen Planus,https://www.mayoclinic.org/diseases-conditions/lichen-planus/symptoms-causes/syc-20351378,"Purple, shiny, flat bumps, often on the inner forearms, wrists or ankles.
Lines of rash where the skin has been scratched.
Lacy white patches on the tongue or inside of the cheeks.
Itchiness.
Painful sores in the mouth or genitals.
Rarely, hair loss.
Nail scarring or loss.
Dark lines from the tip of the nail to the base.
",,
0,Psoriasis or Lichen Planus,Sclerosis,https://www.mayoclinic.org/diseases-conditions/multiple-sclerosis/symptoms-causes/syc-20350269,"Numbness or weakness in one or more limbs that typically occurs on one side of your body at a time
Tingling
Electric-shock sensations that occur with certain neck movements, especially bending the neck forward (Lhermitte sign)
Lack of coordination
Unsteady gait or inability to walk
Partial or complete loss of vision, usually in one eye at a time, often with pain during eye movement
Prolonged double vision
Blurry vision
Vertigo
Problems with sexual, bowel and bladder function
Fatigue
Slurred speech
Cognitive problems
Mood disturbances",,
0,Psoriasis or Lichen Planus,Pityriasis,https://www.mayoclinic.org/diseases-conditions/pityriasis-rosea/symptoms-causes/syc-20376405,"Pityriasis rosea typically begins with an oval, slightly raised, scaly patch called the herald patch on the face, back, chest or abdomen. Before the herald patch appears, some people have headache, fatigue, fever or sore throat. A few days to a few weeks after the herald patch appears, you may notice smaller bumps or scaly spots across your face, back, chest or abdomen that look like a pine-tree pattern. The rash can cause itching.",,
0,Psoriasis or Lichen Planus,Psoriasis,https://www.mayoclinic.org/diseases-conditions/psoriasis/symptoms-causes/syc-20355840," rash with itchy, scaly patches, most commonly on the knees, elbows, trunk and scalp.",,
0,Psoriasis or Lichen Planus,Reiter syndrome,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/symptoms-causes/syc-20354838,"Pain and stiffness. The joint pain associated with reactive arthritis most commonly occurs in the knees, ankles and feet. Pain may also occur in the heels, low back or buttocks.
Eye inflammation. Many people who have reactive arthritis also develop eye inflammation (conjunctivitis).
Urinary problems. Increased frequency and discomfort during urination may occur, as can inflammation of the prostate gland or cervix.
Inflammation of tendons and ligaments where they attach to bone (enthesitis). This happens most often in the heels and the sole of the feet.
Swollen toes or fingers. In some cases, toes or fingers might become so swollen that they look like sausages.
Skin problems. Reactive arthritis can affect skin in a variety of ways, including mouth sores and a rash on the soles of the feet and palms of the hands.
Low back pain. The pain tends to be worse at night or in the morning.
",,
0,Psoriasis or Lichen Planus,Seborrheic Dermatitis,https://www.mayoclinic.org/diseases-conditions/seborrheic-dermatitis/symptoms-causes/syc-20352710,"Flaking skin (dandruff) on your scalp, hair, eyebrows, beard or mustache
Patches of greasy skin covered with flaky white or yellow scales or crust on the scalp, face, sides of the nose, eyebrows, ears, eyelids, chest, armpits, groin area or under the breasts
Rash that may look darker or lighter in people with brown or Black skin and redder in those with white skin
Ring-shaped (annular) rash, for a type called petaloid seborrheic dermatitis
Itchiness (pruritus)",,
0,Exanthems and Drug Eruptions,Entrerovirus,https://www.mayoclinic.org/diseases-conditions/norovirus/symptoms-causes/syc-20355296,"Nausea
Vomiting
Stomach pain or cramps
Watery or loose diarrhea
Feeling ill
Low-grade fever
Muscle pain",,
0,Exanthems and Drug Eruptions,Exfoliative Dermatitis,https://www.mayoclinic.org/diseases-conditions/dermatitis-eczema/symptoms-causes/syc-20352380,"Itchiness that can be painful.
Dry, cracked, scaly skin, more typical on white skin.
Rash on swollen skin that varies in color depending on skin color.
Blisters, perhaps with oozing and crusting.
Dandruff.
Thickened skin.
Small, raised bumps, more typical on brown or Black skin.",,
0,Exanthems and Drug Eruptions,Kawasaki Syndrome,https://www.mayoclinic.org/diseases-conditions/kawasaki-disease/symptoms-causes/syc-20354598,"fever greater than 102.2 F (39 C) for five or more days
A rash on the main part of the body or in the genital area
An enlarged lymph node in the neck
Extremely red eyes without a thick discharge
Red, dry, cracked lips and an extremely red, swollen tongue
Swollen, red skin on the palms of the hands and the soles of the feet, with later peeling of skin on fingers and toes
Abdominal pain
Diarrhea
Irritability
Joint pain
Vomiting",,
0,Exanthems and Drug Eruptions,Roseola Infantum,https://www.mayoclinic.org/diseases-conditions/roseola/symptoms-causes/syc-20377283,"Fever. Roseola often starts with a high fever that is often higher than 103 F (39.4 C). It starts suddenly and lasts 3 to 5 days. Some children also may have a sore throat, runny nose or cough along with or before the fever. Your child may also develop swollen lymph nodes in the neck.
 Rash. After the fever goes away, a rash often appears. A roseola rash is many small spots or patches. These spots tend to be flat. The rash often starts on the chest, back and belly and then spreads to the neck and arms. It might reach the legs and face. The rash isn't likely to be itchy or painful. It can last hours or days. The rash might occur without a fever first. 
",,
0,Exanthems and Drug Eruptions,Scarlet Fever,https://www.mayoclinic.org/diseases-conditions/scarlet-fever/symptoms-causes/syc-20377406,"Red rash. The rash looks like a sunburn and feels like sandpaper. It typically begins on the face or neck and spreads to the trunk, arms and legs. Pushing on the reddened skin makes it turn pale.
Red lines. The folds of skin around the groin, armpits, elbows, knees and neck usually become a deeper red than the other areas with the rash.
Flushed face. The face may appear flushed with a pale ring around the mouth.
Strawberry tongue. The tongue generally looks red and bumpy, and it's often covered with a white coating early in the disease.
Fever of 100.4 F (38.0 C) or higher, often with chills
Very sore and red throat, sometimes with white or yellowish patches
Difficulty swallowing
Enlarged glands in the neck (lymph nodes) that are tender to the touch
Nausea or vomiting
Belly (abdominal) pain
Headache and body aches
The rash and the redness in the face and tongue usually last about a week. After these signs and symptoms have gone away, the skin affected by the rash often peels.",,
0,Lupus and other Connective Tissue diseases,Chilblains Perniosis,https://dermnetnz.org/topics/chilblains,"Itch and/or burning pain
Localised swelling
Blanchable red/purple discolouration.",,
0,Lupus and other Connective Tissue diseases,Crest Syndrome,https://my.clevelandclinic.org/health/diseases/scleroderma,"Joint pain.
Stiffness (especially when waking up in the morning).
Fatigue (feeling extremely tired all the time).
Unexplained weight loss.
",,
0,Lupus and other Connective Tissue diseases,Dermatomyositis,https://www.mayoclinic.org/diseases-conditions/dermatomyositis/symptoms-causes/syc-20353188,"Skin changes. A violet-colored or dusky red rash develops, most commonly on your face and eyelids and on your knuckles, elbows, knees, chest and back. The rash, which can be itchy and painful, is often the first sign of dermatomyositis.
Muscle weakness. Progressive muscle weakness involves the muscles closest to the trunk, such as those in your hips, thighs, shoulders, upper arms and neck. The weakness affects both the left and right sides of your body, and tends to gradually worsen.
",,
0,Lupus and other Connective Tissue diseases,Morphea,https://www.mayoclinic.org/diseases-conditions/morphea/symptoms-causes/syc-20375283,"Signs and symptoms of morphea vary depending on the type and stage of the condition. They include:
Reddish or purplish oval patches of skin, often on the belly, chest or back
Patches that gradually develop a lighter or whitish center
Linear patches, especially on the arms or legs and possibly the forehead or scalp
A gradual change in the affected skin, which becomes firm, thickened, dry and shiny
Morphea affects the skin and underlying tissue and sometimes bone. The condition generally lasts several years and then improves or at times disappears by itself. It may leave scars or areas of darkened or discolored skin. It is possible for morphea to recur.See your doctor if you notice reddish patches of hardening or thickening skin. Early diagnosis and treatment may help slow the development of new patches and allow your doctor to identify and treat complications before they worsen.The cause of morphea is unknown. It may be caused by an unusual reaction of your immune system. In people at increased risk of morphea, it could be triggered by injury to the affected area, medications, chemical toxins, an infection or radiation therapy.The condition isn't contagious.Certain factors may affect your risk of developing morphea, including:
Being white and female. Morphea is most common in white females.
Age. The condition can affect people at any age. It usually appears between the ages of 2 and 14 or in the mid-40s.
A family history of morphea. This condition can run in families. People with morphea are more likely to have a family history of morphea and other autoimmune diseases.
Morphea can cause a number of complications, including:
Self-esteem issues. Morphea can have a negative effect on your self-esteem and body image, particularly if discolored patches of skin appear on your arms, legs or face.
Movement problems. Morphea that affects the arms or legs can impair joint mobility.
Widespread areas of hardened, discolored skin. Numerous new patches of hardened, discolored skin may seem to join together, a condition known as generalized morphea.
Loss of hair and sweat glands. Over time, you may lose hair and sweat glands in the affected area.
Eye damage. Children with head and neck morphea may experience unnoticeable but permanent eye damage.


",,
0,Lupus and other Connective Tissue diseases,Mucinosis,https://www.mayoclinic.org/diseases-conditions/pancreatic-cysts/symptoms-causes/syc-20375993,"
Persistent abdominal pain, which may radiate to your back
Nausea and vomiting
Weight loss
Feeling full soon after you start eating
",,
0,Lupus and other Connective Tissue diseases,Raynaud Disease,https://www.mayoclinic.org/diseases-conditions/raynauds-disease/symptoms-causes/syc-20363571,"Cold fingers or toes.
Areas of skin that turn white then blue. Depending on your skin color, these color changes may be harder or easier to see.
Numb, prickly feeling or stinging pain upon warming or stress relief.
During an attack of Raynaud's, affected areas of the skin usually first turn pale. Next, they often change color and feel cold and numb. When the skin warms and blood flow improves, the affected areas may change color again, throb, tingle or swell.Raynaud's most commonly affects fingers and toes. But it also can affect other areas of the body, such as nose, lips, ears and even nipples. After warming up, the return of blood flow to the area can take 15 minutes.See your health care provider right away if you have a history of severe Raynaud's and get a sore or infection in one of your affected fingers or toes.Experts don't fully understand the cause of Raynaud's attacks. But blood vessels in the hands and feet appear to react too strongly to cold temperatures or stress.With Raynaud's, arteries to the fingers and toes narrow when exposed to cold or stress. The narrowed arteries limit blood flow. Over time, these small arteries can thicken slightly and limit blood flow even more.
",,
