Disease,Keyword,Website,Symptoms
Atopic Dermatitis,Atopic,https://www.nhs.uk/conditions/atopic-eczema/,"Atopic eczemaÂ causes the skin to become itchy, dry, cracked and sore.Some people only have small patches of dry skin, but others may experience widespread inflamed skin all over the body.Inflamed skin can look red on white skin, and darker brown, purple or grey on brown and black skin. This means it may also be more difficult to see on brown and black skin.Although atopic eczema can affect any part of the body,Â it most often affects the hands, insides of the elbows, backs of the knees and the face and scalp in children.People with atopic eczema usuallyÂ have periods when symptoms are less noticeable, as well as periods when symptoms become more severe (flare-ups)."
Atopic Dermatitis,Atopic Derm,https://my.clevelandclinic.org/health/diseases/24299-atopic-dermatitis,"Atopic dermatitis is a chronic condition that causes itchy skin that gets dry and scaly. It tends to come and go and may only be in childhood or may affect you your entire life. In people with light-colored skin, atopic dermatitis looks like red rashes. People with darker skin may develop brown, purple or gray rashes.
Dry skin.
Itching that can be quite severe.
Swelling and inflammation.
Red, brown, purple or gray rashes.
Small, fluid-filled bumps or crusting.
Cracked skin."
Atopic Dermatitis,Atopic Derm,https://www.aad.org/public/diseases/eczema/types/atopic-dermatitis/symptoms,"Atopic dermatitis, or eczema, is often called the “itch that rashes.” This description explains what happens when the condition begins. It tends to start suddenly with very itchy skin. Scratching the itchy skin often causes a rash.

A rash may develop on one or several areas of the skin.

Once atopic dermatitis begins, you may notice one or more of the following:

Itchy skin

Dry, scaly areas

Red rash (especially on lighter skin tones)

Small, rough bumps (more common in darker skin tones)

Dark brown, purple, or grayish areas of skin (darker skin tones)

Skin feels warm and maybe swollen (inflammation)

Scratch marks

Raw skin from scratching

Bumps or rashes leaking fluid

Blisters that ooze and crust over

After healing, skin may be lighter or darker where you had atopic dermatitis

Flare-ups can come and go for years. While the skin is healing in one area, flare-ups may occur in other areas. The flare-ups can also occur in the same place again and again.

Flare-ups can wax and wane or stop for a while and then start up.

Over time, atopic dermatitis can cause the skin to become:

Thickened, scaly, and leathery

Cracked"
Atopic Dermatitis,Atopic Derm,https://www.cedars-sinai.org/health-library/diseases-and-conditions/a/atopic-dermatitis.html,"Itching, which may be mild or very severe
Dry, scaly skin patches
Small bumps that open and ooze (weep) a clear fluid when scratched
Skin redness and swelling
Skin thickening (with chronic eczema)
Scratch marks on the skin
Too much rubbing and scratching can tear the skin and lead to infection."
Atopic Dermatitis,Atopic Face,https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273,"Atopic dermatitis (eczema) symptoms can appear anywhere on the body and vary widely from person to person. They may include:
Dry, cracked skin
Itchiness (pruritus)
Rash on swollen skin that varies in color depending on your skin color
Small, raised bumps, on brown or Black skin
Oozing and crusting
Thickened skin
Darkening of the skin around the eyes
Raw, sensitive skin from scratching
Atopic dermatitis often begins before age 5 and may continue into the teen and adult years. For some people, it flares and then clears up for a time, even for several years.Talk with a health care provider if you or your child:
Has symptoms of atopic dermatitis
Is so uncomfortable that the condition is affecting sleep and daily activities
Has a skin infection â€” look for new streaks, pus, yellow scabs
Has symptoms even after trying self-care steps
Seek immediate medical attention if you or your child has a fever and the rash looks infected.In some people, atopic dermatitis is related to a gene variation that affects the skin's ability to provide protection. With a weak barrier function, the skin is less able to retain moisture and protect against bacteria, irritants, allergens and environmental factors â€” such as tobacco smoke.In other people, atopic dermatitis is caused by too much of the bacteria Staphylococcus aureus on the skin. This displaces helpful bacteria and disrupts the skin's barrier function.A weak skin barrier function might also trigger an immune system response that causes the inflamed skin and other symptoms.Atopic dermatitis (eczema) is one of several types of dermatitis. Other common types are contact dermatitis and seborrheic dermatitis (dandruff). Dermatitis isn't contagious.The main risk factor for atopic dermatitis is having had eczema, allergies, hay fever or asthma in the past. Having family members with these conditions also increases your risk.Complications of atopic dermatitis (eczema) may include:
Asthma and hay fever. Many people with atopic dermatitis develop asthma and hay fever. This can happen before or after developing atopic dermatitis.
Food allergies. People with atopic dermatitis often develop food allergies. One of the main symptoms of this condition is hives (urticaria).
Chronic itchy, scaly skin. A skin condition called neurodermatitis (lichen simplex chronicus) starts with a patch of itchy skin. You scratch the area, which provides only temporary relief. Scratching actually makes the skin itchier because it activates the nerve fibers in your skin. Over time, you may scratch out of habit. This condition can cause the affected skin to become discolored, thick and leathery.
Patches of skin that's darker or lighter than the surrounding area. This complication after the rash has healed is called post-inflammatory hyperpigmentation or hypopigmentation. It's more common in people with brown or Black skin. It might take several months for the discoloration to fade.
Skin infections. Repeated scratching that breaks the skin can cause open sores and cracks. These increase the risk of infection from bacteria and viruses. These skin infections can spread and become life-threatening.
Irritant hand dermatitis. This especially affects people whose hands are often wet and exposed to harsh soaps, detergents and disinfectant at work.
Allergic contact dermatitis. This condition is common in people with atopic dermatitis. Allergic contact dermatitis is an itchy rash caused by touching substances you're allergic to. The color of the rash varies depending on your skin color.
Sleep problems. The itchiness of atopic dermatitis can interfere with sleep.
Mental health conditions. Atopic dermatitis is associated with depression and anxiety. This may be related to the constant itching and sleep problems common among people with atopic dermatitis.
Developing a basic skin care routine may help prevent eczema flares. The following tips may help reduce the drying effects of bathing:

Moisturize your skin at least twice a day. Creams, ointments, shea butter and lotions seal in moisture. Choose a product or products that work well for you. Ideally, the best one for you will be safe, effective, affordable and unscented.
Using petroleum jelly on your baby's skin may help prevent development of atopic dermatitis.

Take a daily bath or shower. Use warm, rather than hot, water and limit your bath or shower to about 10 minutes.
Use a gentle, nonsoap cleanser. Choose a cleanser that's free of dyes, alcohols and fragrance. For young children, you usually need only warm water to get them clean â€” no soap or bubble bath needed. Soap can be especially irritating to the skin of young children. For people of any age, deodorant soaps and antibacterial soaps can remove too much of the skin's natural oils and dry the skin. Don't scrub the skin with a washcloth or loofah.
Pat dry. After bathing, gently pat the skin with a soft towel. Apply moisturizer while your skin is still damp (within three minutes).
The triggers for atopic dermatitis vary widely from person to person. Try to identify and avoid irritants that trigger your eczema. In general, avoid anything that causes an itch because scratching often triggers a flare.Common triggers for atopic dermatitis include:
Rough wool fabric
Dry skin
Skin infection
Heat and sweat
Stress
Cleaning products
Dust mites and pet dander
Mold
Pollen
Smoke from tobacco
Cold and dry air
Fragrances
Other irritating chemicals
Infants and children may have flares triggered by eating certain foods, such as eggs and cow's milk. Talk with your child's health care provider about identifying potential food allergies.Once you understand what triggers your eczema, talk with your health care provider about how to manage your symptoms and prevent flares.

"
Atopic Dermatitis,Atopic Face,https://www.niams.nih.gov/health-topics/atopic-dermatitis,"The most common symptom of atopic dermatitis is itching, which can be severe. Other common symptoms include:

Red, dry patches of skin.
Rashes that that may ooze, weep clear fluid, or bleed when scratched.
Thickening and hardening of the skin.
The symptoms can flare in multiple areas of the body at the same time and can appear in the same locations and in new locations. The appearance and location of the rash vary depending on age; however, the rash can appear anywhere on the body. Patients with darker skin tones often experience darkening or lightening of the skin in areas of skin inflammation.
"
Atopic Dermatitis,Atopic Face,https://my.clevelandclinic.org/health/diseases/24604-eczema-on-face,"Eczema on your face, or facial eczema, is a condition that can make the skin on your face dry, flaky and itchy. Eczema prevents your skinâ€™s natural barrier from outside elements to function properly. This makes your skin sensitive, so it can easily react to irritants and allergens in your environment, which cause flares."
Atopic Dermatitis,Atopic Face,https://www.cedars-sinai.org/health-library/diseases-and-conditions/a/atopic-dermatitis.html,"Itching, which may be mild or very severe
Dry, scaly skin patches
Small bumps that open and ooze (weep) a clear fluid when scratched
Skin redness and swelling
Skin thickening (with chronic eczema)
Scratch marks on the skin
Too much rubbing and scratching can tear the skin and lead to infection."
Atopic Dermatitis,Atopic Fossa,https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273,"Atopic dermatitis (eczema) symptoms can appear anywhere on the body and vary widely from person to person. They may include:
Dry, cracked skin
Itchiness (pruritus)
Rash on swollen skin that varies in color depending on your skin color
Small, raised bumps, on brown or Black skin
Oozing and crusting
Thickened skin
Darkening of the skin around the eyes
Raw, sensitive skin from scratching
Atopic dermatitis often begins before age 5 and may continue into the teen and adult years. For some people, it flares and then clears up for a time, even for several years.Talk with a health care provider if you or your child:
Has symptoms of atopic dermatitis
Is so uncomfortable that the condition is affecting sleep and daily activities
Has a skin infection â€” look for new streaks, pus, yellow scabs
Has symptoms even after trying self-care steps
Seek immediate medical attention if you or your child has a fever and the rash looks infected.In some people, atopic dermatitis is related to a gene variation that affects the skin's ability to provide protection. With a weak barrier function, the skin is less able to retain moisture and protect against bacteria, irritants, allergens and environmental factors â€” such as tobacco smoke.In other people, atopic dermatitis is caused by too much of the bacteria Staphylococcus aureus on the skin. This displaces helpful bacteria and disrupts the skin's barrier function.A weak skin barrier function might also trigger an immune system response that causes the inflamed skin and other symptoms.Atopic dermatitis (eczema) is one of several types of dermatitis. Other common types are contact dermatitis and seborrheic dermatitis (dandruff). Dermatitis isn't contagious.The main risk factor for atopic dermatitis is having had eczema, allergies, hay fever or asthma in the past. Having family members with these conditions also increases your risk.Complications of atopic dermatitis (eczema) may include:
Asthma and hay fever. Many people with atopic dermatitis develop asthma and hay fever. This can happen before or after developing atopic dermatitis.
Food allergies. People with atopic dermatitis often develop food allergies. One of the main symptoms of this condition is hives (urticaria).
Chronic itchy, scaly skin. A skin condition called neurodermatitis (lichen simplex chronicus) starts with a patch of itchy skin. You scratch the area, which provides only temporary relief. Scratching actually makes the skin itchier because it activates the nerve fibers in your skin. Over time, you may scratch out of habit. This condition can cause the affected skin to become discolored, thick and leathery.
Patches of skin that's darker or lighter than the surrounding area. This complication after the rash has healed is called post-inflammatory hyperpigmentation or hypopigmentation. It's more common in people with brown or Black skin. It might take several months for the discoloration to fade.
Skin infections. Repeated scratching that breaks the skin can cause open sores and cracks. These increase the risk of infection from bacteria and viruses. These skin infections can spread and become life-threatening.
Irritant hand dermatitis. This especially affects people whose hands are often wet and exposed to harsh soaps, detergents and disinfectant at work.
Allergic contact dermatitis. This condition is common in people with atopic dermatitis. Allergic contact dermatitis is an itchy rash caused by touching substances you're allergic to. The color of the rash varies depending on your skin color.
Sleep problems. The itchiness of atopic dermatitis can interfere with sleep.
Mental health conditions. Atopic dermatitis is associated with depression and anxiety. This may be related to the constant itching and sleep problems common among people with atopic dermatitis.
Developing a basic skin care routine may help prevent eczema flares. The following tips may help reduce the drying effects of bathing:

Moisturize your skin at least twice a day. Creams, ointments, shea butter and lotions seal in moisture. Choose a product or products that work well for you. Ideally, the best one for you will be safe, effective, affordable and unscented.
Using petroleum jelly on your baby's skin may help prevent development of atopic dermatitis.

Take a daily bath or shower. Use warm, rather than hot, water and limit your bath or shower to about 10 minutes.
Use a gentle, nonsoap cleanser. Choose a cleanser that's free of dyes, alcohols and fragrance. For young children, you usually need only warm water to get them clean â€” no soap or bubble bath needed. Soap can be especially irritating to the skin of young children. For people of any age, deodorant soaps and antibacterial soaps can remove too much of the skin's natural oils and dry the skin. Don't scrub the skin with a washcloth or loofah.
Pat dry. After bathing, gently pat the skin with a soft towel. Apply moisturizer while your skin is still damp (within three minutes).
The triggers for atopic dermatitis vary widely from person to person. Try to identify and avoid irritants that trigger your eczema. In general, avoid anything that causes an itch because scratching often triggers a flare.Common triggers for atopic dermatitis include:
Rough wool fabric
Dry skin
Skin infection
Heat and sweat
Stress
Cleaning products
Dust mites and pet dander
Mold
Pollen
Smoke from tobacco
Cold and dry air
Fragrances
Other irritating chemicals
Infants and children may have flares triggered by eating certain foods, such as eggs and cow's milk. Talk with your child's health care provider about identifying potential food allergies.Once you understand what triggers your eczema, talk with your health care provider about how to manage your symptoms and prevent flares.

"
Atopic Dermatitis,Atopic Fossa,https://www.cedars-sinai.org/health-library/diseases-and-conditions/a/atopic-dermatitis.html,"Itching, which may be mild or very severe
Dry, scaly skin patches
Small bumps that open and ooze (weep) a clear fluid when scratched
Skin redness and swelling
Skin thickening (with chronic eczema)
Scratch marks on the skin
Too much rubbing and scratching can tear the skin and lead to infection."
Atopic Dermatitis,Atopic Lichenification,https://www.ncbi.nlm.nih.gov/books/NBK537332/,"The lesions start as hyperpigmentation on a flat skin surface that is followed by the appearance of multiple small papules, termed pseudopapules, giving the lesion a pebbly appearance. The next is thickening or induration of the deep layers of the skin that does not involve the skin creases and thereby imparts the rather characteristic exaggeration of skin markings. Lesions appear as ill-defined except for certain cases of secondary lichenification.

Owing to the inciting factor of chronic rubbing, lichenification often occurs in easily accessible sites such as the nape of the neck, wrists, hands, forearms, waist, scrotum, vulva, thighs, lower legs and dorsa of feet.Certain cases are known to occur in the lower eyelids, postauricular area, axillae, and popliteal fossae.

Diffuse types of lichenification have been described wherein involvement of the face, neck, chest, abdomen, flanks, arms, forearms, thighs and lower legs appear as ill-defined plaques ranging from hyperpigmented patches, numerous flat-topped papules, and indurated plaques may present symmetrically with extremity involvement."
Atopic Dermatitis,Atopic Lichenification,https://www.cedars-sinai.org/health-library/diseases-and-conditions/a/atopic-dermatitis.html,"Itching, which may be mild or very severe
Dry, scaly skin patches
Small bumps that open and ooze (weep) a clear fluid when scratched
Skin redness and swelling
Skin thickening (with chronic eczema)
Scratch marks on the skin
Too much rubbing and scratching can tear the skin and lead to infection."
Atopic Dermatitis,Atopic Lichenification,https://www.osmosis.org/answers/lichenification,"Lichenification is a secondary skin lesion that is characterized by hyperpigmentation, thickening of the skin and exaggerated skin lines. These skin lesions usually appear from constant scratching or rubbing in areas, such as the elbows. 

Usually the lesion begins with hyperpigmentation, or the darkening of a patch of skin. This is often followed by the development of small papules, which are small, raised bumps on the skin. Finally, thickening of the skin can occur, which results in the characteristic sign of exaggerated skin lines or markings."
Atopic Dermatitis,Atopic Mouth,https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273,"Atopic dermatitis (eczema) symptoms can appear anywhere on the body and vary widely from person to person. They may include:
Dry, cracked skin
Itchiness (pruritus)
Rash on swollen skin that varies in color depending on your skin color
Small, raised bumps, on brown or Black skin
Oozing and crusting
Thickened skin
Darkening of the skin around the eyes
Raw, sensitive skin from scratching
Atopic dermatitis often begins before age 5 and may continue into the teen and adult years. For some people, it flares and then clears up for a time, even for several years.Talk with a health care provider if you or your child:
Has symptoms of atopic dermatitis
Is so uncomfortable that the condition is affecting sleep and daily activities
Has a skin infection â€” look for new streaks, pus, yellow scabs
Has symptoms even after trying self-care steps
Seek immediate medical attention if you or your child has a fever and the rash looks infected.In some people, atopic dermatitis is related to a gene variation that affects the skin's ability to provide protection. With a weak barrier function, the skin is less able to retain moisture and protect against bacteria, irritants, allergens and environmental factors â€” such as tobacco smoke.In other people, atopic dermatitis is caused by too much of the bacteria Staphylococcus aureus on the skin. This displaces helpful bacteria and disrupts the skin's barrier function.A weak skin barrier function might also trigger an immune system response that causes the inflamed skin and other symptoms.Atopic dermatitis (eczema) is one of several types of dermatitis. Other common types are contact dermatitis and seborrheic dermatitis (dandruff). Dermatitis isn't contagious.The main risk factor for atopic dermatitis is having had eczema, allergies, hay fever or asthma in the past. Having family members with these conditions also increases your risk.Complications of atopic dermatitis (eczema) may include:
Asthma and hay fever. Many people with atopic dermatitis develop asthma and hay fever. This can happen before or after developing atopic dermatitis.
Food allergies. People with atopic dermatitis often develop food allergies. One of the main symptoms of this condition is hives (urticaria).
Chronic itchy, scaly skin. A skin condition called neurodermatitis (lichen simplex chronicus) starts with a patch of itchy skin. You scratch the area, which provides only temporary relief. Scratching actually makes the skin itchier because it activates the nerve fibers in your skin. Over time, you may scratch out of habit. This condition can cause the affected skin to become discolored, thick and leathery.
Patches of skin that's darker or lighter than the surrounding area. This complication after the rash has healed is called post-inflammatory hyperpigmentation or hypopigmentation. It's more common in people with brown or Black skin. It might take several months for the discoloration to fade.
Skin infections. Repeated scratching that breaks the skin can cause open sores and cracks. These increase the risk of infection from bacteria and viruses. These skin infections can spread and become life-threatening.
Irritant hand dermatitis. This especially affects people whose hands are often wet and exposed to harsh soaps, detergents and disinfectant at work.
Allergic contact dermatitis. This condition is common in people with atopic dermatitis. Allergic contact dermatitis is an itchy rash caused by touching substances you're allergic to. The color of the rash varies depending on your skin color.
Sleep problems. The itchiness of atopic dermatitis can interfere with sleep.
Mental health conditions. Atopic dermatitis is associated with depression and anxiety. This may be related to the constant itching and sleep problems common among people with atopic dermatitis.
Developing a basic skin care routine may help prevent eczema flares. The following tips may help reduce the drying effects of bathing:

Moisturize your skin at least twice a day. Creams, ointments, shea butter and lotions seal in moisture. Choose a product or products that work well for you. Ideally, the best one for you will be safe, effective, affordable and unscented.
Using petroleum jelly on your baby's skin may help prevent development of atopic dermatitis.

Take a daily bath or shower. Use warm, rather than hot, water and limit your bath or shower to about 10 minutes.
Use a gentle, nonsoap cleanser. Choose a cleanser that's free of dyes, alcohols and fragrance. For young children, you usually need only warm water to get them clean â€” no soap or bubble bath needed. Soap can be especially irritating to the skin of young children. For people of any age, deodorant soaps and antibacterial soaps can remove too much of the skin's natural oils and dry the skin. Don't scrub the skin with a washcloth or loofah.
Pat dry. After bathing, gently pat the skin with a soft towel. Apply moisturizer while your skin is still damp (within three minutes).
The triggers for atopic dermatitis vary widely from person to person. Try to identify and avoid irritants that trigger your eczema. In general, avoid anything that causes an itch because scratching often triggers a flare.Common triggers for atopic dermatitis include:
Rough wool fabric
Dry skin
Skin infection
Heat and sweat
Stress
Cleaning products
Dust mites and pet dander
Mold
Pollen
Smoke from tobacco
Cold and dry air
Fragrances
Other irritating chemicals
Infants and children may have flares triggered by eating certain foods, such as eggs and cow's milk. Talk with your child's health care provider about identifying potential food allergies.Once you understand what triggers your eczema, talk with your health care provider about how to manage your symptoms and prevent flares.

"
Atopic Dermatitis,Atopic Mouth,https://my.clevelandclinic.org/health/diseases/22741-eczema-on-the-lips,"Eczema on the lips, also known as eczematous cheilitis, is inflammation or irritation on the skin of your lips. Itâ€™s sometimes associated with atopic dermatitis. It can lead to dry, scaly or painfully cracked lips. Itâ€™s a more severe form of chapped lips. Chapped lips are usually temporary, but eczema on the lips tends to be long term (chronic)."
Atopic Dermatitis,Atopic Mouth,https://www.cedars-sinai.org/health-library/diseases-and-conditions/a/atopic-dermatitis.html,"Itching, which may be mild or very severe
Dry, scaly skin patches
Small bumps that open and ooze (weep) a clear fluid when scratched
Skin redness and swelling
Skin thickening (with chronic eczema)
Scratch marks on the skin
Too much rubbing and scratching can tear the skin and lead to infection."
Scabies Lyme Diease and other Infestations and Bites,Biting insects,https://www.mayoclinic.org/first-aid/first-aid-insect-bites/basics/art-20056593,NA
Scabies Lyme Diease and other Infestations and Bites,Biting insects,https://my.clevelandclinic.org/health/diseases/17695-mosquito-bites,"Mosquito bites are small, raised bumps on the skin resulting from a female mosquito feeding on human blood."
Scabies Lyme Diease and other Infestations and Bites,Biting insects,https://www.healthline.com/health/bug-bites,"If youâ€™re bitten or stung, you may see or feel the animal on your skin during the attack. Some people donâ€™t notice the animal and may not be aware of a bite or sting until one or more of the following symptoms emerge:swellingredness or rashpain in the affected area or in the musclesitchingheat on and around the site of the bite or stingnumbness or tingling in the affected areaSymptoms of a severe reaction requiring immediate medical treatment include:feverdifficulty breathingnausea or vomitingmuscle spasmsrapid heart rateswelling of the lips and throatconfusionloss of consciousnessIf you feel ill or experience flu-like symptoms in the days following an insect or arachnid bite, see a doctor for tests to rule out infections or diseases you may have contracted from the animal."
Scabies Lyme Diease and other Infestations and Bites,Biting insects,https://en.wikipedia.org/wiki/Arthropod_bites_and_stings,"Most arthropod bites and stings cause self-limited redness, itchiness and/or pain around the site. Less commonly (around 10% of Hymenoptera sting reactions), a large local reaction occurs when the area of swelling is greater than 10 centimetres (4 in). Rarely (1-3% of Hymenoptera sting reactions), systemic reactions can affect multiple organs and pose a medical emergency, as in the case of anaphylactic shock."
Scabies Lyme Diease and other Infestations and Bites,Biting insects,https://www.msdmanuals.com/en-sg/home/injuries-and-poisoning/bites-and-stings/insect-bites,"Most bites result in nothing more than a small, red, itchy bump. Sometimes, people develop a large sore (ulcer), with swelling and pain. The most severe reactions occur in people who are allergic to the bites or who develop an infection after being bitten. Fleas can cause allergic reactions sometimes without biting."
Scabies Lyme Diease and other Infestations and Bites,Biting insects,"https://www.singhealth.com.sg/rhs/get-well/gpfirst/insect-bites-and-stings#:~:text=%E2%80%8BInsect%20bites%20and%20stings,difficulties%2C%20stomach%20pain%20or%20shock.","​Insect bites and stings usually only cause minor irritation, such as swollen, itchy, red marks on the skin that last for a few days.

Some bites or stings can be painful or trigger more serious allergic reactions like nausea, facial swelling, breathing difficulties, stomach pain or shock."
Scabies Lyme Diease and other Infestations and Bites,Biting insects,https://www.cedars-sinai.org/blog/bug-bites.html,"If you see signs of infection, such as oozing and swelling, cover the bite with a regular bandage and call your doctor. You should also seek help if you have chills or a fever. "
Scabies Lyme Diease and other Infestations and Bites,Biting insects,https://medlineplus.gov/ency/article/000033.htm,"Symptoms depend on the type of bite or sting. They may include:PainRednessSwellingItchingBurningNumbnessTingling Some people have severe, life-threatening reactions to bee stings or insect bites. This is called anaphylactic shock. This condition can occur very quickly and lead to rapid death if not treated quickly. Symptoms of anaphylaxis can occur quickly and affect the whole body. They include:Abdominal pain or vomitingChest painDifficulty swallowingDifficulty breathingFace or mouth swellingFainting or lightheadednessRash or skin flushing"
Scabies Lyme Diease and other Infestations and Bites,Biting insects,https://www.nhs.uk/conditions/insect-bites-and-stings/,"The main symptoms of an insect bite or sting are:pain where you were bitten or stunga small, swollen lump on the skinThe lump may look red. It may be more difficult to see on black or brown skin, but you should be able to feel it."
